Source,Description,"Value £s  In bands of £1,500",Received,Registered,gid
Bell Pottinger,Bell Pottinger is paid by Equitable Members' Action Group to act as the group's secretariat.  From : 01/01/2017  To : 31/12/2017,4501-6000,01/01/2017,09/01/2017,equitable-life
Hogan Lovells LLP,Pro bono legal advice  From : 01/09/2015  To : 31/08/2016,127501-129000,01/09/2015,19/12/2016,extraordinary-rendition
FBB Foundation,Secretariat  From : 30/06/2016  To : 29/06/2017,6001-7500,30/06/2016,14/07/2016,fair-business-banking
Fairtrade Foundation,Secretariat  From : 01/12/2016  To : 30/11/2017,7501-9000,01/12/2016,20/12/2016,fairtrade
FaithAction,Secretariat  From : 07/06/2016  To : 06/06/2017,3001-4500,07/06/2016,23/06/2016,faith-and-society
Institute for Family Business,Secretariat  From : 01/01/2016  To : 31/12/2016,1501-3000,01/01/2016,07/07/2016,family-business
Institute for Family Business,Reception held on 1 November 2016,4501-6000,01/11/2016,25/11/2016,family-business
Working with Men,Secretariat  From : 01/01/2016  To : 31/12/2016,1501-3000,01/01/2016,01/07/2016,fatherhood
Young Enterprise,Secretariat  From : 01/01/2016  To : 31/12/2016,34501-36000,01/01/2016,12/10/2016,financial-education-for-young-people
Industry Advisory Group,Secretariat  From : 01/01/2015  To : 31/12/2015,12001-13500,01/01/2015,06/07/2015,financial-markets-and-services
Innovate Finance,Secretariat  From : 07/07/2016  To : 06/07/2017,6001-7500,07/07/2016,18/10/2016,financial-technology
St John Ambulance,Secretariat  From : 16/09/2016  To : 15/09/2017,4501-6000,16/09/2016,18/11/2016,first-aid
Royal Public Affairs,Secretariat  From : 09/06/2016  To : 10/06/2017,16501-18000,09/06/2016,13/06/2016,fit-and-healthy-childhood
Interel Consulting UK Ltd,Secretariat  From : 19/04/2016  To : 31/12/2016,10501-12000,19/04/2016,10/05/2016,fixed-odds-betting-terminals
FASD Trust,Secretariat  From : 01/07/2016  To : 30/06/2017,3001-4500,01/07/2016,21/10/2016,foetal-alcohol-spectrum-disorder
Food and Drink Federation,Secretariat  From : 06/07/2016  To : 05/07/2017,7501-9000,06/07/2016,20/07/2016,food-and-drink-manufacturing
Renewable Energy Association,Event held on 29 November 2016,1501-3000,29/11/2016,07/02/2017,food-waste
Confor,Secretariat  From : 23/06/2015  To : 31/12/2015,16501-18000,23/06/2015,10/07/2015,forestry
New Europeans,Secretariat  From : 21/07/2016  To : 21/07/2017,4501-6000,21/07/2016,21/07/2016,freedom-of-movement
Road Haulage Association,Secretariat  From : 01/01/2017  To : 31/12/2017,15001-16500,01/01/2017,18/01/2017,freight-transport
Syria Campaign,Printing costs and travel costs for speakers.,1501-3000,07/11/2016,09/11/2016,friends-of-syria
PHA Media,PHA Media is funded by International Consortium of British Pensioners to act as the group's secretariat  From : 14/07/2016  To : 13/07/2017,10501-12000,14/07/2016,30/09/2016,frozen-british-pensions
National Energy Action,Secretariat  From : 01/07/2016  To : 30/06/2017,9001-10500,01/07/2016,12/10/2016,fuel-poverty-and-energy-efficiency
Brevia Consulting,National Association of Funeral Directors pays Brevia Consulting to act as the group's secretariat  From : 24/06/2016  To : 23/06/2017,25501-27000,24/06/2016,20/10/2016,funerals-and-bereavement
National Association of Funeral Directors,Christmas luncheon,1501-3000,14/12/2016,12/01/2017,funerals-and-bereavement
Brevia Consulting,Brevia Consulting is paid by British Furniture Confederation to act as the group's secretariat  From : 01/07/2016  To : 30/06/2017,22501-24000,01/07/2016,14/10/2016,furniture-industry
British Furniture Confederation,Afternoon tea,1501-3000,11/10/2016,07/11/2016,furniture-industry
Transport Systems Catapult,Transport Systems Catapult acts as the group's secretariat and pays Chelgate to help it in this role  From : 15/03/2016  To : 14/03/2017,40501-42000,15/03/2016,29/03/2016,future-of-transport
Game and Wildlife Conservation Trust,Secretariat  From : 01/01/2016  To : 31/12/2016,1501-3000,01/01/2016,21/09/2016,game-and-wildlife-conservation
Newington,Secretariat  From : 07/03/2016  To : 06/03/2017,24001-25500,07/03/2016,05/04/2016,gardening-and-horticulture
Results UK,Secretariat  From : 01/01/2016  To : 31/12/2016,1501-3000,01/01/2016,13/07/2016,global-education-for-all
British American Security Information Council (BASIC),Polden Puckham Charitable Foundation and Network for Social Change fund BASIC to act as the APPG's secretariat.  From : 01/01/2016  To : 31/12/2016,16501-18000,01/01/2016,11/04/2016,global-security-and-non-proliferation
MR Group,Secretariat  From : 20/07/2016  To : 19/07/2017,25501-27000,20/07/2016,20/07/2016,golf
R&A Championships,Tickets and/or hospitality package for the R&A Champtionships Open.,1501-3000,15/07/2016,10/08/2016,golf
Powerful Media Ltd,Secretariat  From : 19/07/2016  To : 18/07/2017,1501-3000,19/07/2016,27/07/2016,governance-and-inclusive-leadership
Devo Connect,Secretariat  From : 07/02/2017  To : 06/02/2018,12001-13500,07/02/2017,07/03/2017,greater-manchester
Greyhound Board of Great Britain,Secretariat  From : 01/01/2016  To : 31/12/2016,1501-3000,01/01/2016,11/08/2016,greyhound
Traveller Law Reform Project,Secretariat  From : 01/01/2017  To : 31/12/2017,9001-10500,01/01/2017,04/04/2017,gypsies-travellers-and-roma
The Haemophilia Society,Secretariat  From : 01/01/2016  To : 31/12/2016,1501-3000,01/01/2016,14/06/2016,haemophilia-and-contaminated-blood
Connect Communications,Connect Communications is paid by the Hair Council to act as the group's secretariat  From : 08/09/2015  To : 08/09/2016,4501-6000,08/09/2015,12/10/2015,hair-industry
UK Faculty of Public Health,Secretariat  From : 01/07/2016  To : 30/06/2017,7501-9000,01/07/2016,25/08/2016,health-in-all-policies
Gill Morris Communications (GMC Ltd),Secretariat,10501-12000,16/11/2016,15/11/2017,healthy-homes-and-buildings
British Heart Foundation,Secretariat  From : 01/07/2016  To : 31/07/2016,4501-6000,01/07/2016,05/08/2016,heart-disease
RAC Limited,Dinner held on 29 November 2016,3001-4500,29/11/2016,13/12/2016,historic-vehicles
"The Global Fund To Fight AIDS, Tuberculosis And Malaria",Visit to Vietnam  From : 01/07/2016  To : 07/07/2016,7501-9000,01/07/2016,03/08/2016,hiv-and-aids
Electrical Safety First,Secretariat  From : 30/11/2016  To : 29/11/2017,3001-4500,30/11/2016,08/03/2017,home-electrical-safety
